sale_id;item_id;quantity_purchased
1;14;1
2;41;1
2;48;2
3;45;1
4;14;1
4;19;1
4;75;1
5;83;1
6;8;1
6;37;1
7;30;1
7;82;1
8;86;1
9;85;1
10;54;1
11;3;1
11;38;1
12;4;1
12;75;1
13;71;1
14;35;1
14;67;1
15;29;1
15;30;1
15;45;1
15;49;2
15;53;1
16;80;1
17;63;1
18;12;1
18;31;1
18;38;1
18;45;1
18;49;2
18;73;1
19;63;1
20;20;1
21;56;1
22;55;1
22;66;1
22;71;1
23;66;1
23;69;1
24;53;1
24;75;1
25;76;2
25;78;1
26;65;1
26;75;1
27;49;2
28;77;1
28;84;1
29;2;1
30;27;1
30;57;1
31;68;1
32;45;1
32;75;1
33;75;1
34;26;1
35;47;2
36;12;1
36;75;1
37;75;1
