sale_id;item_id;quantity_purchased
1;14;1
2;41;1
2;48;2
3;45;1
4;14;1
4;19;1
4;75;1
5;83;1
6;8;1
6;37;1
7;30;1
7;82;1
8;86;1
9;85;1
10;54;1
11;3;1
11;38;1
12;4;1
12;75;1
13;71;1
14;35;1
14;67;1
15;29;1
15;30;1
15;45;1
15;49;2
15;53;1
16;80;1
17;63;1
18;12;1
18;31;1
18;38;1
18;45;1
18;49;2
18;73;1
19;63;1
20;20;1
21;56;1
22;55;1
22;66;1
22;71;1
23;66;1
23;69;1
24;53;1
24;75;1
25;76;2
25;78;1
26;65;1
26;75;1
27;49;2
28;77;1
28;84;1
29;2;1
30;27;1
30;57;1
31;68;1
32;45;1
32;75;1
33;75;1
34;26;1
35;47;2
36;12;1
36;75;1
37;75;1
38;71;1
39;59;1
40;71;2
41;81;1
42;75;1
43;81;1
44;58;1
45;53;1
45;57;1
47;45;1
47;74;1
48;70;1
49;70;1
58;70;1
59;70;3
60;70;-6
61;70;1
62;21;1
62;36;1
63;10;1
63;43;1
64;13;1
64;38;1
65;38;1
66;80;1
67;18;1
67;41;1
68;87;1
69;91;1
70;71;1
71;61;1
72;45;1
72;48;1
72;65;1
72;109;1
73;26;1
73;46;1
73;79;1
74;13;1
75;82;1
76;75;2
76;89;1
77;71;1
77;88;1
78;98;1
79;61;1
80;55;1
80;93;1
81;33;1
81;112;2
82;14;1
82;39;1
82;76;2
83;55;1
83;60;1
84;14;1
84;48;2
85;103;1
86;14;1
87;16;1
88;71;2
89;14;2
90;103;1
91;51;1
91;103;1
92;55;1
92;70;1
93;110;1
94;82;1
94;104;1
95;55;1
96;73;1
97;50;1
98;38;1
98;48;2
98;86;1
99;98;1
100;103;1
101;110;1
102;41;1
102;42;1
102;50;1
102;65;1
102;68;1
103;32;1
103;48;2
103;103;1
104;54;1
104;66;1
104;75;1
104;113;1
105;43;1
105;111;1
106;14;1
106;39;1
106;48;2
107;116;1
108;97;1
108;116;1
109;43;1
110;43;1
110;81;1
111;66;1
112;42;1
113;75;1
114;14;1
115;75;1
115;81;1
116;66;1
117;55;1
117;113;1
118;44;1
119;116;2
120;114;1
121;48;2
121;54;1
122;110;1
122;114;1
123;100;1
124;110;1
125;110;1
126;113;1
126;116;1
127;48;1
128;40;1
128;64;1
129;111;1
130;74;1
130;75;2
130;90;1
131;101;1
132;43;1
133;114;1
134;45;1
134;75;1
134;121;1
135;125;1
136;16;1
136;108;1
137;6;1
138;6;-1
139;6;1
140;27;1
140;41;1
141;92;1
142;39;1
142;102;1
142;120;1
143;9;1
144;41;1
144;119;1
145;75;1
145;113;1
146;113;1
146;119;1
147;74;1
148;41;1
148;42;1
149;4;1
150;30;1
151;30;1
151;102;1
152;119;1
153;119;1
154;119;1
155;45;1
155;48;2
155;78;1
155;99;1
156;114;1
156;117;1
156;120;1
157;101;1
158;21;1
158;54;1
159;113;1
160;96;1
161;71;1
161;82;1
162;75;1
162;101;1
163;8;1
164;75;2
165;129;1
166;119;1
166;126;1
167;39;1
168;38;1
168;108;1
168;119;1
169;46;1
170;36;1
170;121;1
171;20;1
171;75;1
171;119;1
171;121;1
172;75;1
172;118;1
173;39;1
173;114;1
174;39;1
174;45;1
174;114;1
175;129;2
176;22;1
177;132;5
178;123;1
179;17;1
179;46;1
179;101;1
179;120;1
180;74;1
181;33;1
181;90;1
181;125;1
182;16;1
182;133;1
183;114;1
183;117;1
184;27;1
184;48;2
184;75;1
184;134;2
185;62;1
185;133;1
185;134;1
186;27;1
186;30;1
186;38;1
186;45;1
186;48;2
186;131;1
187;131;1
188;62;1
189;45;1
190;75;1
191;45;2
191;119;1
191;134;2
192;119;1
192;130;1
193;75;1
193;118;1
194;48;2
194;122;1
195;57;1
195;130;1
196;14;1
196;115;1
196;119;2
197;103;1
197;115;1
198;57;1
199;45;1
199;60;1
199;75;2
200;119;1
201;14;1
201;71;1
201;75;1
202;103;1
202;130;1
202;135;1
203;134;2
204;53;1
204;96;1
204;104;1
205;119;1
206;136;1
207;30;1
207;119;1
208;78;1
209;103;1
209;130;1
210;14;1
210;75;1
210;117;1
210;134;2
211;16;1
211;123;1
212;53;1
212;75;3
212;119;1
213;14;1
213;139;1
214;46;1
214;55;1
214;82;1
215;27;1
216;134;1
217;94;1
217;134;2
218;124;1
219;40;1
219;114;1
219;117;1
220;51;1
220;71;1
221;55;1
221;75;1
221;129;1
